GRE,TOEFL,UniversityRating,SOP,LOR,CGPA,Research,Chance
337,118,4,4.5,4.5,9.65,1,0.92
324,107,4,4.0,4.5,8.87,1,0.76
316,104,3,3.0,3.5,8.00,1,0.72
322,110,3,3.5,2.5,8.67,1,0.80
314,103,2,2.0,3.0,8.21,0,0.65
330,115,5,4.5,4.5,9.34,1,0.90
321,109,3,3.0,4.0,8.20,1,0.75
308,101,2,3.0,4.0,7.90,0,0.60
302,102,1,2.0,2.0,7.50,0,0.55
323,108,3,3.5,4.0,8.60,1,0.78
325,112,4,4.0,4.0,9.00,1,0.85
318,106,3,3.5,3.5,8.40,1,0.74
312,104,2,3.0,3.0,8.10,0,0.68
335,117,5,5.0,5.0,9.80,1,0.97
329,114,4,4.5,4.5,9.30,1,0.91
305,100,2,2.5,3.0,7.80,0,0.58
310,102,2,3.0,3.5,8.00,0,0.63
327,111,4,4.0,4.0,9.10,1,0.88
315,105,3,3.5,3.5,8.50,1,0.73
340,120,5,5.0,5.0,10.00,1,0.99